vrijeme,klasa,pouzdanost
2026-09-17 15:27:00.647,car,0.6332
2026-09-17 15:27:00.647,car,0.4794
2026-09-17 15:27:00.647,car,0.2987
2026-09-17 15:27:00.725,car,0.6517
2026-09-17 15:27:00.725,car,0.5631
2026-09-17 15:27:00.725,car,0.3813
2026-09-17 15:27:00.790,car,0.6448
2026-09-17 15:27:00.790,car,0.5611
2026-09-17 15:27:00.790,car,0.4658
2026-09-17 15:27:00.869,car,0.7063
2026-09-17 15:27:00.869,car,0.6191
2026-09-17 15:27:00.869,car,0.4695
2026-09-17 15:27:00.963,car,0.6984
2026-09-17 15:27:00.963,car,0.5509
2026-09-17 15:27:00.963,car,0.5414
2026-09-17 15:27:01.048,car,0.7457
2026-09-17 15:27:01.048,car,0.6118
2026-09-17 15:27:01.048,car,0.5538
2026-09-17 15:27:01.114,car,0.7457
2026-09-17 15:27:01.114,car,0.6118
2026-09-17 15:27:01.114,car,0.5538
2026-09-17 15:27:01.179,car,0.7457
2026-09-17 15:27:01.179,car,0.6118
2026-09-17 15:27:01.179,car,0.5538
2026-09-17 15:27:01.246,car,0.7457
2026-09-17 15:27:01.246,car,0.6118
2026-09-17 15:27:01.246,car,0.5538
2026-09-17 15:27:01.347,car,0.7457
2026-09-17 15:27:01.347,car,0.6118
2026-09-17 15:27:01.347,car,0.5538
2026-09-17 15:27:01.446,car,0.8258
2026-09-17 15:27:01.446,car,0.7051
2026-09-17 15:27:01.446,car,0.5223
2026-09-17 15:27:01.523,car,0.8797
2026-09-17 15:27:01.523,car,0.7519
2026-09-17 15:27:01.523,car,0.5622
2026-09-17 15:27:01.597,car,0.7859
2026-09-17 15:27:01.597,car,0.5643
2026-09-17 15:27:01.597,car,0.5468
2026-09-17 15:27:01.666,car,0.8041
2026-09-17 15:27:01.666,car,0.5923
2026-09-17 15:27:01.666,car,0.5696
2026-09-17 15:27:01.738,car,0.8393
2026-09-17 15:27:01.738,car,0.5468
2026-09-17 15:27:01.738,car,0.5107
2026-09-17 15:27:01.804,car,0.8193
2026-09-17 15:27:01.804,car,0.5299
2026-09-17 15:27:01.804,car,0.4265
2026-09-17 15:27:01.868,car,0.8709
2026-09-17 15:27:01.868,car,0.6379
2026-09-17 15:27:01.868,car,0.5211
2026-09-17 15:27:01.945,car,0.8961
2026-09-17 15:27:01.945,car,0.5768
2026-09-17 15:27:01.945,car,0.5659
2026-09-17 15:27:01.945,car,0.3081
2026-09-17 15:27:02.022,car,0.8825
2026-09-17 15:27:02.022,car,0.6298
2026-09-17 15:27:02.022,car,0.608
2026-09-17 15:27:02.022,car,0.4195
2026-09-17 15:27:02.095,car,0.8662
2026-09-17 15:27:02.095,car,0.6715
2026-09-17 15:27:02.095,car,0.5971
2026-09-17 15:27:02.095,car,0.3432
2026-09-17 15:27:02.171,car,0.8662
2026-09-17 15:27:02.171,car,0.6924
2026-09-17 15:27:02.171,car,0.5112
2026-09-17 15:27:02.171,car,0.2529
2026-09-17 15:27:02.240,car,0.8138
2026-09-17 15:27:02.240,car,0.6972
2026-09-17 15:27:02.240,car,0.4701
2026-09-17 15:27:02.319,car,0.8678
2026-09-17 15:27:02.319,car,0.6299
2026-09-17 15:27:02.319,car,0.4853
2026-09-17 15:27:02.397,car,0.8569
2026-09-17 15:27:02.397,car,0.5943
2026-09-17 15:27:02.397,car,0.5091
2026-09-17 15:27:02.483,car,0.882
2026-09-17 15:27:02.483,car,0.6678
2026-09-17 15:27:02.483,car,0.5479
2026-09-17 15:27:02.566,car,0.8575
2026-09-17 15:27:02.566,car,0.7606
2026-09-17 15:27:02.566,car,0.4007
2026-09-17 15:27:02.662,car,0.8694
2026-09-17 15:27:02.662,car,0.7192
2026-09-17 15:27:02.662,car,0.458
2026-09-17 15:27:02.662,car,0.2571
2026-09-17 15:27:02.758,car,0.8487
2026-09-17 15:27:02.758,car,0.635
2026-09-17 15:27:02.758,car,0.3323
2026-09-17 15:27:02.830,car,0.8955
2026-09-17 15:27:02.830,car,0.7502
2026-09-17 15:27:02.830,car,0.3674
2026-09-17 15:27:02.939,car,0.9277
2026-09-17 15:27:02.939,car,0.7302
2026-09-17 15:27:02.939,car,0.3919
2026-09-17 15:27:02.939,car,0.376
2026-09-17 15:27:03.025,car,0.927
2026-09-17 15:27:03.025,car,0.7884
2026-09-17 15:27:03.025,car,0.3944
2026-09-17 15:27:03.109,car,0.9019
2026-09-17 15:27:03.109,car,0.6454
2026-09-17 15:27:03.109,car,0.3903
2026-09-17 15:27:03.186,car,0.9019
2026-09-17 15:27:03.186,car,0.6454
2026-09-17 15:27:03.186,car,0.3903
2026-09-17 15:27:03.265,car,0.9019
2026-09-17 15:27:03.265,car,0.6454
2026-09-17 15:27:03.265,car,0.3903
2026-09-17 15:27:03.393,car,0.9323
2026-09-17 15:27:03.393,car,0.7842
2026-09-17 15:27:03.393,car,0.3784
2026-09-17 15:27:03.393,car,0.3028
2026-09-17 15:27:03.495,car,0.9256
2026-09-17 15:27:03.495,car,0.83
2026-09-17 15:27:03.495,car,0.5091
2026-09-17 15:27:03.596,car,0.8797
2026-09-17 15:27:03.596,car,0.8767
2026-09-17 15:27:03.596,car,0.3934
2026-09-17 15:27:03.692,car,0.8881
